athlete;gender;timestamp;distance (m);elapsed time (s);elevation gain (m);average heart rate (bpm)
18042525;M;15.12.19;2965.8;812;45764;150.3
18042525;M;10.12.19;10020.8;3290;52.2;160.8
18042525;M;03.12.19;12132.2;4027;249.0;148.9
18042525;M;26.11.19;11631.5;4442;194.0;136.2
18042525;M;19.11.19;11708.1;4022;250.7;146.0
18042525;M;12.11.19;14538.4;5194;239.3;143.7
18042525;M;10.11.19;11083.5;3440;90.8;143.2
18042525;M;05.11.19;11432.4;4043;197.2;150.2
18042525;M;29.10.19;14550.5;5197;264.7;155.8
18042525;M;27.10.19;14672.7;5218;191.4;126.8
18042525;M;19.10.19;14224.9;5239;209.5;133.4
18042525;M;15.10.19;15342.1;5321;270.2;147.4
18042525;M;13.10.19;10081.9;3965;199.5;132.7
18042525;M;08.10.19;10056.7;3474;179.1;170.8
18042525;M;01.10.19;15024.3;5478;270.0;149.4
18042525;M;24.09.19;12393.1;4602;260.5;131.9
18042525;M;31.07.19;12849.4;5045;420.0;151.3
18042525;M;30.07.19;12351.5;4265;240.1;133.7
18042525;M;23.07.19;4346.6;2232;114.1;113.1
18042525;M;20.07.19;10056.6;3745;198.0;131.5
18042525;M;18.07.19;20022.0;6091;82.3;146.0
18042525;M;09.07.19;13733.8;4602;234.9;148.7
18042525;M;07.07.19;10174.4;3985;206.8;130.4
18042525;M;02.07.19;12566.6;4513;218.5;134.5
18042525;M;01.07.19;9105.7;3365;74.7;121.7
18042525;M;30.06.19;10025.2;3566;55.3;124.0
18042525;M;25.06.19;14622.1;6915;390.5;
18042525;M;25.06.19;7265.8;2905;209.1;139.4
18042525;M;23.06.19;12103.8;4274;62.2;130.8
18042525;M;18.06.19;10695.1;3884;119.2;138.5
18042525;M;13.06.19;11051.2;3338;60.8;149.6
18042525;M;11.06.19;14527.6;4821;235.8;145.5
18042525;M;04.06.19;11369.6;3997;245.5;139.7
18042525;M;31.05.19;11040.7;5302;338.2;127.6
18042525;M;28.05.19;13624.2;4838;208.7;134.7
18042525;M;26.05.19;9891.0;3715;170.4;134.9
18042525;M;21.05.19;12009.1;4853;326.2;143.6
18042525;M;14.05.19;10466.1;3808;226.9;138.5
18042525;M;12.05.19;16508.9;6181;245.7;136.1
18042525;M;11.05.19;10020.5;3179;2.0;154.7
18042525;M;10.05.19;11043.8;3401;54.2;155.6
18042525;M;07.05.19;11016.2;3716;182.6;141.5
18042525;M;05.05.19;16216.1;5879;264.1;138.4
18042525;M;03.05.19;9022.5;3283;104.4;143.6
18042525;M;30.04.19;10412.3;3688;178.5;141.0
18042525;M;28.04.19;20514.8;6153;78.2;154.3
18042525;M;23.04.19;11053.5;3807;105.2;136.5
18042525;M;20.04.19;10005.2;3566;50.1;137.3
18042525;M;19.04.19;10161.6;3758;197.6;133.4
18042525;M;16.04.19;15563.5;4679;76.6;157.2
18042525;M;09.04.19;10027.2;3470;222.8;141.3
18042525;M;07.04.19;7151.1;1830;32.8;161.0
18042525;M;02.04.19;11141.1;3993;182.7;137.7
18042525;M;23.03.19;9309.5;3615;84.8;118.3
18042525;M;19.03.19;11752.6;4127;76.0;137.6
18042525;M;12.03.19;12499.4;4618;240.8;133.4
18042525;M;03.03.19;13623.0;5062;477.1;163.6
18042525;M;27.02.19;3574.7;765;45824;144.3
18042525;M;26.02.19;10058.2;3875;92.8;135.2
18042525;M;21.02.19;4029.4;909;19.0;154.5
18042525;M;19.02.19;13505.3;5063;238.3;155.1
18042525;M;12.02.19;12525.5;4690;298.0;143.7
18042525;M;10.02.19;10031.7;2697;49.5;168.5
18042525;M;05.02.19;12769.8;4459;247.2;146.8
18042525;M;03.02.19;9212.9;3525;182.2;
18042525;M;30.01.19;10575.7;3964;148.5;
18042525;M;20.01.19;13999.1;5127;96.3;
18042525;M;19.01.19;10057.8;3754;87.7;
18042525;M;15.01.19;13171.6;4761;237.9;136.8
18042525;M;08.01.19;12977.1;4724;248.5;141.2
18042525;M;28.12.18;20067.2;7214;192.8;132.9
18042525;M;27.12.18;8490.8;2852;45868;134.6
18042525;M;24.12.18;8299.2;2814;127.8;137.6
18042525;M;22.12.18;9810.2;2878;162.8;166.1
18042525;M;16.12.18;5655.2;1906;100.0;171.1
18042525;M;09.12.18;19003.4;6742;88.3;128.4
18042525;M;04.12.18;15049.7;5340;252.3;140.5
18042525;M;02.12.18;14798.0;5606;220.8;131.7
18042525;M;27.11.18;11097.8;4080;202.4;154.4
18042525;M;25.11.18;15452.0;6215;271.7;130.6
18042525;M;18.11.18;11132.8;3750;107.0;157.9
18042525;M;13.11.18;11048.9;4162;182.7;132.4
18042525;M;10.11.18;10743.4;4250;224.5;136.4
18042525;M;06.11.18;12854.7;4859;250.7;142.6
18042525;M;30.09.18;12143.7;4933;210.5;154.4
18042525;M;29.07.18;11140.5;3715;82.8;136.2
18042525;M;27.07.18;12675.7;4939;373.8;139.5
18042525;M;24.07.18;14243.0;4761;86.9;144.2
18042525;M;17.07.18;14216.9;5412;315.4;156.3
18042525;M;11.07.18;8247.5;2703;76.4;130.0
18042525;M;03.07.18;11581.0;4183;282.9;158.2
18042525;M;30.06.18;9142.5;3876;84.4;126.0
18042525;M;19.06.18;14013.0;5334;366.5;148.3
18042525;M;05.06.18;14754.0;5333;233.3;147.1
18042525;M;03.06.18;10055.4;2760;56.8;169.1
18042525;M;22.05.18;11498.1;4326;270.5;140.1
18042525;M;20.05.18;12020.0;4485;135.9;128.0
18042525;M;15.05.18;11137.5;3940;255.3;145.5
18042525;M;08.05.18;15010.6;5389;351.0;137.1
18042525;M;06.05.18;14815.5;4799;315.9;167.7
18042525;M;01.05.18;8608.3;3289;298.7;165.0
18042525;M;24.04.18;10702.1;3949;272.7;143.2
18042525;M;17.04.18;11322.9;3977;188.7;141.7
18042525;M;10.04.18;10209.7;3597;282.7;150.0
18042525;M;03.04.18;15171.7;5221;288.9;147.3
18042525;M;22.03.18;4894.7;1301;45732;143.1
18042525;M;20.03.18;12198.7;4275;203.6;143.0
18042525;M;27.02.18;10002.1;3273;51.6;139.1
18042525;M;13.02.18;10594.8;4038;260.6;139.2
18042525;M;06.02.18;12299.7;4514;305.6;134.4
18042525;M;30.01.18;11245.4;4275;244.8;129.1
18042525;M;28.01.18;9966.9;2663;33.2;169.0
18042525;M;23.01.18;17516.8;6559;328.6;136.8
18042525;M;16.01.18;15186.6;5334;347.1;150.8
18042525;M;09.01.18;2126.2;726;0.0;123.0
18042525;M;04.01.18;8288.4;2845;213.2;135.2
18042525;M;30.12.17;7069.6;2002;70.0;125.8
18042525;M;23.12.17;10046.8;2924;236.0;165.9
18042525;M;28.11.17;12914.2;4573;300.2;143.6
18042525;M;21.11.17;14704.2;5174;257.0;141.4
18042525;M;07.11.17;12711.3;4445;295.6;143.4
18042525;M;17.10.17;12274.9;4129;278.5;136.0
18042525;M;10.10.17;10254.1;3952;266.8;119.6
18042525;M;08.10.17;15464.9;4677;356.9;167.2
18042525;M;07.10.17;12118.8;3736;349.6;173.7
18042525;M;03.10.17;12071.6;4600;295.7;127.6
18042525;M;30.09.17;12315.6;4206;318.9;161.9
18042525;M;26.09.17;15126.0;5018;270.0;142.1
18042525;M;19.09.17;12073.3;4284;216.3;132.8
18042525;M;17.09.17;10181.5;2728;213.1;164.1
18042525;M;12.09.17;14129.8;5152;305.8;129.7
18042525;M;09.09.17;10677.3;2976;121.5;166.7
18042525;M;05.09.17;15121.6;5565;297.1;133.7
18042525;M;29.08.17;12878.8;4533;68.4;136.6
18042525;M;24.08.17;18025.8;5284;107.7;137.6
18042525;M;22.08.17;8335.4;2785;41.5;123.5
18042525;M;21.08.17;5310.0;1838;104.7;130.6
18042525;M;18.08.17;10010.1;3278;148.0;156.7
18042525;M;16.08.17;4897.9;1488;98.2;152.5
18042525;M;15.08.17;10525.9;3553;54.0;126.6
18042525;M;14.08.17;11265.3;3687;207.2;152.8
18042525;M;12.08.17;14025.1;4707;156.3;136.3
18042525;M;10.08.17;17004.1;5307;117.1;143.5
18042525;M;09.08.17;3138.4;893;3.0;144.2
18042525;M;08.08.17;8430.7;2946;43.9;124.3
18042525;M;01.08.17;12699.8;4947;335.2;140.2
18042525;M;30.07.17;17017.9;5428;130.4;145.8
18042525;M;26.07.17;9003.0;3618;244.9;133.1
18042525;M;11.07.17;10079.0;3299;91.4;134.6
18042525;M;04.07.17;8298.1;2815;67.8;137.4
18042525;M;27.06.17;12303.1;4356;209.2;127.6
18042525;M;20.06.17;13333.1;5087;278.8;134.5
18042525;M;13.06.17;13590.4;4787;399.5;147.4
18042525;M;06.06.17;15178.1;5389;363.0;131.1
18042525;M;04.06.17;6268.2;2195;245.9;162.5
18042525;M;30.05.17;17173.2;6465;319.0;134.9
18042525;M;25.05.17;10139.5;3647;225.0;145.7
18042525;M;23.05.17;11312.3;4116;274.9;151.4
18042525;M;21.05.17;11781.0;4638;335.3;158.6
18042525;M;16.05.17;12699.1;4402;70.9;137.7
18042525;M;09.05.17;10387.2;3885;234.8;138.4
18042525;M;04.05.17;9539.6;2972;0.0;143.4
18042525;M;01.05.17;8573.5;2856;258.2;168.1
18042525;M;27.04.17;6177.7;1679;0.0;158.0
18042525;M;22.04.17;13002.1;4180;109.3;167.0
18042525;M;20.04.17;15798.0;4622;100.4;160.2
18042525;M;18.04.17;9747.3;2781;143.4;145.8
18042525;M;17.04.17;5160.3;1405;0.0;154.0
18042525;M;11.04.17;15006.4;5146;262.2;138.9
18042525;M;09.04.17;4922.5;1245;45911;139.5
18042525;M;31.03.17;5253.1;1419;0.0;158.7
18042525;M;28.03.17;14298.4;4870;268.6;135.8
18042525;M;26.03.17;12366.0;4695;229.7;127.1
18042525;M;21.03.17;13321.4;4560;282.7;139.3
18042525;M;19.03.17;11202.1;3373;132.7;161.6
18042525;M;16.03.17;6262.4;1691;0.0;165.0
18042525;M;14.03.17;11941.7;3967;192.0;139.1
18042525;M;12.03.17;12843.2;5124;452.9;151.4
18042525;M;05.03.17;12094.3;3400;156.9;165.4
18042525;M;28.02.17;11347.8;3743;221.4;140.5
18042525;M;26.02.17;9108.4;3251;226.9;133.2
18042525;M;25.02.17;8519.7;2855;45897;124.9
18042525;M;18.02.17;7840.6;2891;130.5;129.1
18042525;M;14.02.17;14791.2;5053;284.8;140.2
18042525;M;12.02.17;10662.2;4325;204.4;132.6
18042525;M;12.02.17;7180.6;2110;0.0;144.3
18042525;M;10.02.17;7787.0;2839;161.0;124.0
18042525;M;05.02.17;9937.9;2612;45826;173.9
18042525;M;24.01.17;12874.7;4194;195.3;143.0
18042525;M;22.01.17;11206.5;3767;243.7;147.5
18042525;M;20.01.17;964.8;225;0.0;126.7
18042525;M;17.01.17;11145.2;3855;219.5;141.6
18042525;M;10.01.17;11790.6;4155;191.7;139.0
18042525;M;08.01.17;9485.4;3382;214.7;153.6
18042525;M;05.01.17;9142.1;3118;151.4;145.1
18042525;M;03.01.17;10506.1;3403;266.8;148.0
18042525;M;29.12.16;10901.1;3778;145.6;144.1
18042525;M;27.12.16;8518.9;2770;45927;131.2
18042525;M;17.12.16;9415.6;2798;126.5;170.2
18042525;M;13.12.16;7652.1;2523;143.8;129.8
18042525;M;06.12.16;11322.7;4004;230.5;135.0
18042525;M;04.12.16;9863.1;2486;45897;159.1
18042525;M;29.11.16;14387.6;4712;276.7;146.9
18042525;M;26.11.16;9840.7;2475;45788;166.5
18042525;M;20.11.16;10939.9;3853;226.5;146.7
18042525;M;15.11.16;15013.2;4764;266.0;143.6
18042525;M;08.11.16;12012.3;4085;203.4;144.7
18042525;M;06.11.16;6230.4;1541;44.6;146.3
18042525;M;31.10.16;8082.3;3390;789.7;165.3
18042525;M;25.10.16;11084.6;3855;217.0;140.3
18042525;M;23.10.16;11232.6;3165;100.0;166.2
18042525;M;18.10.16;12411.8;3866;336.7;139.7
18042525;M;16.10.16;11496.4;3481;290.4;167.2
18042525;M;11.10.16;14783.9;4786;292.0;142.9
20263706;M;04.01.20;10770.0;3572;253.0;
20263706;M;15.12.19;4195.0;1352;30.0;
20263706;M;10.12.19;9955.0;3240;69.0;
20263706;M;01.12.19;2534.0;1410;24.0;
20263706;M;26.11.19;11263.0;3717;194.0;
20263706;M;27.10.19;75466.0;39675;3414.6;
20263706;M;06.10.19;12407.0;4062;401.0;
20263706;M;03.10.19;15518.0;4878;293.0;
20263706;M;01.10.19;15006.0;4780;274.0;
20263706;M;29.09.19;16531.0;4969;122.0;
20263706;M;22.09.19;2203.0;1146;18.0;
20263706;M;17.09.19;9506.0;3237;97.0;
20263706;M;08.09.19;15128.0;10381;601.0;
20263706;M;07.09.19;22813.0;18888;1795.0;
20263706;M;06.09.19;21488.0;17323;1662.0;
20263706;M;03.09.19;14873.0;4939;234.0;
20263706;M;30.08.19;9595.0;3221;218.0;
20263706;M;28.08.19;10684.0;8608;603.0;
20263706;M;28.08.19;0.0;0;0.0;
20263706;M;16.08.19;35464.0;9319;890.6;
20263706;M;13.07.19;72437.0;44810;4668.0;
20263706;M;09.07.19;14663.0;4575;234.0;
20263706;M;07.07.19;0.0;1;0.0;
20263706;M;02.07.19;20096.0;7142;517.0;
20263706;M;23.06.19;29620.0;16062;1728.0;
20263706;M;20.06.19;12545.0;3859;77.0;
20263706;M;11.06.19;14196.5;4718;251.0;
20263706;M;09.06.19;17141.0;5799;451.0;
20263706;M;03.06.19;11031.0;3811;204.0;
20263706;M;26.05.19;11871.5;4094;345.0;
20263706;M;16.04.19;14466.0;4830;275.0;
20263706;M;02.04.19;11268.0;3777;193.0;
20263706;M;24.02.19;22904.0;7816;640.0;
20263706;M;19.02.19;13651.0;4668;262.0;
20263706;M;12.02.19;15063.0;4607;113.0;
20263706;M;07.02.19;14261.0;4296;111.0;
20263706;M;05.02.19;13021.0;4376;256.0;
20263706;M;03.02.19;13120.0;4194;267.0;
20263706;M;24.01.19;8059.0;2606;195.0;
20263706;M;11.12.18;11405.0;3857;111.0;
20263706;M;05.12.18;1922.6;1022;45763;
20263706;M;02.12.18;1291.3;649;45697;
20263706;M;29.11.18;9303.0;3072;227.0;
20263706;M;27.11.18;12187.0;4153;206.0;
20263706;M;23.10.18;11805.0;10178;474.0;
20263706;M;21.09.18;7531.0;2606;175.0;
20263706;M;19.08.18;7585.0;5866;532.0;
20263706;M;24.07.18;8358.0;3359;93.0;
20263706;M;14.07.18;42609.5;20886;2678.0;
20263706;M;08.07.18;16941.0;10753;1599.0;
20263706;M;24.06.18;23286.0;8489;1045.0;
20263706;M;19.06.18;14774.0;4773;269.4;
20263706;M;14.06.18;16013.0;4945;285.0;
20263706;M;11.06.18;13064.0;4051;196.6;
20263706;M;07.06.18;11268.0;3470;140.0;
20263706;M;02.06.18;10499.0;3797;132.0;
20263706;M;27.05.18;12413.0;4302;232.0;
20263706;M;16.05.18;10070.0;3632;297.0;
20263706;M;01.04.18;8351.0;3122;275.0;
20263706;M;13.03.18;14800.0;5016;274.0;
20263706;M;06.03.18;11512.0;3869;192.0;
20263706;M;03.03.18;17233.0;5931;138.0;
20263706;M;26.02.18;10003.0;3196;222.0;
20263706;M;21.02.18;10034.0;3310;226.0;
20263706;M;04.11.17;18748.0;6162;103.0;
20263706;M;29.08.17;6805.3;2681;81.0;
20263706;M;27.08.17;41444.9;12365;1422.4;152.4
20263706;M;30.07.17;19424.0;15706;1031.0;104.1
20263706;M;28.07.17;19233.9;14336;1619.0;134.3
20263706;M;27.07.17;6054.5;5382;350.0;
20263706;M;25.07.17;6105.1;4860;353.0;
20263706;M;18.06.17;61949.2;21418;2378.0;156.9
20263706;M;10.06.17;10731.2;3572;77.0;164.3
20263706;M;31.05.17;11596.3;4164;187.0;150.2
20263706;M;20.05.17;10388.3;3402;169.0;156.4
20263706;M;02.05.17;13683.5;4365;239.0;162.3
20263706;M;06.04.17;15139.0;4755;281.0;157.3
20263706;M;04.04.17;15164.9;4961;305.0;153.9
20263706;M;28.03.17;5662.0;1958;34.0;141.3
20263706;M;21.03.17;13455.7;4479;283.0;153.3
20263706;M;14.03.17;11954.9;3948;206.0;155.2
7191483;M;13.10.19;41457.7;14302;290.8;158.2
7191483;M;06.10.19;12335.5;4041;342.0;163.8
7191483;M;03.10.19;10557.9;3209;225.2;153.7
7191483;M;29.09.19;20017.3;6071;107.3;159.9
7191483;M;25.09.19;10496.9;3073;184.1;157.9
7191483;M;22.09.19;15776.0;5026;254.5;161.3
7191483;M;17.09.19;10616.8;3419;233.5;159.1
7191483;M;15.09.19;20839.9;6360;196.3;172.5
7191483;M;09.09.19;13436.7;4137;272.3;155.5
7191483;M;03.09.19;10649.8;3309;231.7;157.3
7191483;M;01.09.19;14700.3;5010;278.9;
7191483;M;29.08.19;7882.7;2581;181.2;
7191483;M;26.08.19;7855.3;2832;142.9;
7191483;M;20.08.19;12238.3;3845;175.1;156.0
7191483;M;11.08.19;13649.9;4378;240.4;157.0
7191483;M;09.08.19;10037.8;3058;111.7;175.4
7191483;M;30.07.19;10618.6;3771;268.4;154.3
7191483;M;07.07.19;17290.1;7966;1028.3;167.7
7191483;M;30.06.19;9577.4;3223;183.3;
7191483;M;20.06.19;12492.7;3862;70.3;
7191483;M;16.06.19;14504.6;5058;357.1;
7191483;M;13.06.19;9872.2;3515;237.0;
7191483;M;09.06.19;17008.3;5856;400.5;
7191483;M;03.06.19;11060.9;3852;211.6;
7191483;M;30.05.19;10303.6;3562;245.0;
7191483;M;26.05.19;11676.2;3962;304.2;152.1
7191483;M;23.05.19;11804.6;4734;321.9;
7191483;M;20.05.19;12019.3;3770;191.7;162.4
7191483;M;12.05.19;9789.3;3395;263.9;160.2
7191483;M;06.05.19;8756.3;3089;258.9;
7191483;M;21.04.19;11846.3;3680;73.5;
7191483;M;24.02.19;22915.4;8078;549.7;168.7
7191483;M;12.02.19;15020.1;4566;73.4;156.5
7191483;M;07.02.19;14200.2;4250;70.2;159.0
7191483;M;03.02.19;14079.1;4155;167.9;167.3
7191483;M;30.01.19;7265.6;2607;140.5;
7191483;M;27.01.19;10677.4;3437;208.0;
7191483;M;24.01.19;8018.3;2644;182.3;
7191483;M;20.01.19;8956.6;3126;219.3;
7191483;M;06.01.19;13323.6;3817;134.7;62.0
7191483;M;20.12.18;14321.9;4701;307.0;159.9
7191483;M;18.12.18;11245.4;3482;170.8;161.0
7191483;M;15.12.18;7558.8;2273;64.5;165.1
7191483;M;03.12.18;9326.6;3021;206.2;
7191483;M;29.11.18;9313.5;3057;207.1;
7191483;M;22.11.18;11876.7;3991;229.3;156.8
7191483;M;13.11.18;10078.8;3099;65.9;161.8
7191483;M;01.11.18;11100.6;3461;204.6;
7191483;M;30.10.18;10746.4;3471;242.3;
7191483;M;21.10.18;10748.4;3497;240.8;
7191483;M;07.10.18;12521.0;4295;354.0;
7191483;M;02.10.18;10112.1;3657;212.7;145.9
7191483;M;30.09.18;12009.5;4272;235.3;
7191483;M;28.09.18;7854.5;2522;171.5;157.8
7191483;M;24.09.18;9383.2;3322;241.2;153.5
7191483;M;21.09.18;8042.0;2845;172.4;149.6
7191483;M;24.08.18;4713.2;1846;95.5;146.9
7191483;M;06.07.18;9748.0;2898;168.6;180.3
7191483;M;14.06.18;12387.1;3829;185.0;159.4
7191483;M;11.06.18;7672.1;2524;173.4;
7191483;M;16.05.18;10024.2;3637;271.7;146.4
7191483;M;12.04.18;12558.9;4249;298.2;156.9
7191483;M;13.03.18;14655.1;4750;348.5;152.1
7191483;M;07.03.18;10736.6;3501;225.7;156.6
7191483;M;04.03.18;12507.3;4042;187.7;157.0
7191483;M;26.02.18;10062.8;3182;213.6;160.9
7191483;M;21.02.18;10279.9;3293;219.7;
7191483;M;15.02.18;11755.9;3374;58.1;
7191483;M;12.02.18;9629.8;3177;237.1;
7191483;M;24.01.18;11002.6;3688;223.9;
7191483;M;17.01.18;472.5;144;45659;
7191483;M;17.01.18;10982.7;3528;225.1;
7191483;M;10.01.18;10706.5;3551;223.3;
7191483;M;07.01.18;12508.6;3517;151.6;
7191483;M;02.01.18;8226.3;2512;161.5;
7191483;M;29.12.17;10232.4;3324;159.4;161.0
7191483;M;20.12.17;12747.9;4569;398.4;158.9
7191483;M;13.12.17;12012.8;4008;1052.2;154.4
7191483;M;22.11.17;5624.5;1727;164.0;163.4
7191483;M;20.11.17;10968.4;3547;177.0;166.9
7191483;M;08.11.17;10517.9;3624;258.2;155.3
7191483;M;24.10.17;7576.4;2372;419.4;
7191483;M;07.10.17;5714.9;1888;422.0;158.8
7191483;M;02.10.17;7324.7;2384;394.2;
7191483;M;16.01.17;7940.0;2500;143.9;159.4
7191483;M;10.01.17;10559.9;3564;198.4;156.1
